CustomerID,BillDate,Amount,PaymentStatus,PaymentMethod,PaymentDate
CUST07641,2021-09-24,4088.73,Paid,Card,2021-09-28
CUST02788,2021-02-25,5300.0,Paid,UPI,2021-02-27
CUST05958,2021-02-03,6021.13,Paid,Net Banking,2021-02-07
CUST05045,2021-03-23,1300.59,Paid,Net Banking,2021-03-24
CUST03357,2021-07-17,2966.23,Paid,Card,2021-07-22
CUST06481,2021-08-20,10362.85,Late,Card,2021-09-01
CUST02189,2021-08-01,11041.43,Paid,UPI,2021-08-06
CUST04784,2021-05-23,17055.55,Paid,Wallet,2021-05-28
CUST01962,2021-04-04,9958.43,Paid,Net Banking,2021-04-04
CUST08929,2021-07-29,1181.23,Paid,Net Banking,2021-07-31
CUST02964,2021-03-29,10964.87,Paid,Card,2021-03-30
CUST03937,2021-02-09,15897.55,Paid,UPI,2021-02-12
CUST06407,2021-09-08,16273.74,Missed,Card,
CUST07007,2021-01-03,999.93,Late,UPI,2021-01-15
CUST05870,2021-09-08,19725.74,Paid,Card,2021-09-09
CUST06294,2021-03-09,17640.1,Paid,Card,2021-03-13
CUST07875,2021-06-16,15977.53,Paid,Card,2021-06-16
CUST09425,2021-06-12,8519.04,Missed,Net Banking,
CUST02041,2021-02-11,12718.45,Paid,Card,2021-02-13
CUST08205,2021-03-13,9533.12,Paid,Card,2021-03-15
CUST03263,2021-11-24,18101.41,Late,Net Banking,2021-11-30
CUST07165,2021-11-24,3601.67,Paid,Net Banking,2021-11-29
CUST00706,2021-03-19,3467.47,Paid,Net Banking,2021-03-21
CUST02031,2021-02-05,5841.78,Missed,Net Banking,
CUST00940,2021-03-07,12829.01,Paid,Net Banking,2021-03-10
CUST05166,2021-11-28,9001.22,Missed,Card,
CUST01863,2021-04-05,9415.14,Paid,Net Banking,2021-04-07
CUST07917,2021-10-26,1288.92,Paid,UPI,2021-10-28
CUST05175,2021-12-25,12405.02,Paid,Net Banking,2021-12-30
CUST02979,2021-06-26,8795.69,Paid,Wallet,2021-06-26
CUST01615,2021-10-26,3040.13,Late,Card,2021-11-04
CUST00295,2021-01-23,16799.58,Paid,Card,2021-01-27
CUST00872,2021-11-13,14330.78,Paid,Card,2021-11-16
CUST07246,2021-08-14,19969.36,Paid,UPI,2021-08-18
CUST07964,2021-06-25,3779.13,Paid,UPI,2021-06-27
CUST09035,2021-10-13,13866.94,Paid,Net Banking,2021-10-14
CUST02194,2021-11-20,14613.26,Paid,Wallet,2021-11-20
CUST04464,2021-02-02,13200.96,Late,UPI,2021-02-09
CUST01568,2021-11-14,9915.41,Paid,Card,2021-11-19
CUST03841,2021-04-26,11138.75,Paid,Net Banking,2021-04-27
CUST00904,2021-10-30,11923.61,Paid,Wallet,2021-11-02
CUST04080,2021-06-16,11736.22,Late,UPI,2021-07-04
CUST09906,2021-03-08,4029.25,Late,UPI,2021-03-15
CUST04079,2021-07-29,5458.12,Paid,Wallet,2021-07-30
CUST00915,2021-05-28,9613.03,Paid,UPI,2021-05-31
CUST01634,2021-02-01,8064.73,Late,Card,2021-02-14
CUST04770,2021-01-08,7434.78,Paid,Card,2021-01-12
CUST06801,2021-07-16,18800.12,Paid,UPI,2021-07-17
CUST07573,2021-06-23,6715.69,Paid,Net Banking,2021-06-26
CUST06812,2021-11-28,10165.9,Paid,Net Banking,2021-11-28
CUST07394,2021-12-29,2231.05,Paid,Card,2022-01-03
CUST01142,2021-09-28,853.96,Late,UPI,2021-10-11
CUST02348,2021-06-27,11503.04,Paid,Wallet,2021-06-29
CUST07826,2021-11-16,16806.31,Late,Wallet,2021-11-25
CUST05876,2021-05-08,3251.27,Late,UPI,2021-05-14
CUST03272,2021-05-27,7295.38,Late,UPI,2021-06-14
CUST05896,2021-12-30,4150.04,Paid,UPI,2021-12-31
CUST09568,2021-08-06,15913.21,Late,Wallet,2021-08-21
CUST00384,2021-12-15,7207.27,Paid,Net Banking,2021-12-17
CUST02766,2021-06-22,3892.85,Paid,Card,2021-06-23
