CustomerID,TicketDate,IssueType,ResolutionTime,SatisfactionScore
CUST01658,2021-07-26,Service Down,14,3
CUST05488,2021-06-21,Service Down,3,2
CUST05494,2021-11-18,Payment Issue,7,3
CUST08603,2021-12-08,Login Issue,8,3
CUST00315,2021-01-02,Payment Issue,5,2
CUST03487,2021-03-28,Payment Issue,8,3
CUST09541,2021-03-21,Account Blocked,11,1
CUST08875,2021-11-27,Payment Issue,4,3
CUST08833,2021-12-22,Account Blocked,4,1
CUST04809,2021-02-14,Service Down,8,4
CUST02142,2021-01-04,Other,5,2
CUST08006,2021-03-14,Other,6,5
CUST07003,2021-02-16,Other,6,2
CUST08356,2021-12-31,Payment Issue,4,2
CUST05716,2021-04-16,Login Issue,14,5
CUST07831,2021-12-01,Login Issue,2,1
CUST05839,2021-08-30,Service Down,7,5
CUST01712,2021-06-11,Payment Issue,5,1
CUST04257,2021-06-22,Login Issue,4,3
CUST01632,2021-04-19,Login Issue,11,4
CUST09192,2021-02-09,Other,2,3
CUST03300,2021-11-30,Other,8,4
CUST03770,2021-01-28,Service Down,8,4
CUST08391,2021-04-02,Account Blocked,6,5
CUST00988,2021-03-31,Payment Issue,5,2
CUST04494,2021-04-18,Service Down,7,4
CUST07535,2021-01-20,Login Issue,11,2
CUST04415,2021-11-26,Login Issue,8,1
CUST04253,2021-02-02,Other,10,2
CUST03835,2021-10-10,Login Issue,7,4
CUST04310,2021-02-04,Other,6,5
CUST04637,2021-05-31,Service Down,12,5
CUST09004,2021-02-01,Other,5,5
CUST00800,2021-10-22,Payment Issue,14,3
CUST04498,2021-02-25,Account Blocked,1,4
CUST06511,2021-07-10,Login Issue,5,5
CUST04249,2021-06-18,Service Down,8,5
CUST06556,2021-01-16,Account Blocked,1,2
CUST03319,2021-02-06,Service Down,3,5
CUST03351,2021-05-28,Payment Issue,9,1
CUST01961,2021-11-27,Service Down,11,3
CUST06767,2021-07-01,Other,1,5
CUST01778,2021-04-08,Account Blocked,13,3
CUST03056,2021-12-29,Login Issue,9,2
CUST07995,2021-05-03,Payment Issue,3,1
CUST03549,2021-04-12,Login Issue,14,2
CUST05433,2021-02-14,Login Issue,5,1
CUST00343,2021-04-22,Payment Issue,11,1
CUST04216,2021-02-12,Other,6,5
CUST01922,2021-07-27,Login Issue,5,3
CUST06559,2021-08-31,Other,5,2
CUST01699,2021-03-02,Service Down,11,2
CUST02649,2021-01-05,Login Issue,9,1
CUST01577,2021-08-25,Account Blocked,1,4
CUST02356,2021-10-12,Other,6,1
CUST01615,2021-05-26,Other,10,4
CUST00861,2021-04-07,Other,6,1
CUST05041,2021-05-14,Account Blocked,11,1
CUST09319,2021-05-30,Other,13,1
CUST04895,2021-01-22,Service Down,5,3
CUST09369,2021-03-12,Payment Issue,4,2
CUST00466,2021-11-11,Login Issue,9,3
CUST07468,2021-09-19,Payment Issue,2,1
CUST01379,2021-11-17,Account Blocked,13,3
CUST03531,2021-12-23,Payment Issue,2,3
CUST04096,2021-11-06,Service Down,7,1
CUST01014,2021-02-16,Payment Issue,9,1
CUST02027,2021-10-20,Service Down,11,4
CUST01921,2021-01-19,Login Issue,9,5
CUST01847,2021-06-10,Login Issue,3,2
CUST05573,2021-07-20,Service Down,7,5
CUST01223,2021-04-04,Other,2,1
CUST01571,2021-01-30,Service Down,3,3
CUST04741,2021-09-22,Other,1,4
CUST04301,2021-06-09,Other,8,2
CUST03648,2021-04-03,Service Down,4,2
CUST02787,2021-11-02,Service Down,3,1
CUST00559,2021-07-24,Account Blocked,11,3
CUST09124,2021-10-06,Account Blocked,1,1
CUST07491,2021-04-24,Account Blocked,3,5
CUST01449,2021-05-16,Service Down,13,4
CUST05468,2021-09-30,Account Blocked,5,3
CUST00372,2021-12-26,Login Issue,9,1
CUST02586,2021-03-28,Other,11,2
CUST02883,2021-06-26,Payment Issue,7,3
CUST00822,2021-01-28,Payment Issue,9,4
CUST05319,2021-09-11,Other,9,3
CUST07554,2021-04-26,Account Blocked,3,3
CUST03023,2021-06-14,Account Blocked,11,3
CUST05413,2021-06-13,Payment Issue,10,4
CUST08473,2021-05-15,Login Issue,1,2
CUST01158,2021-10-07,Service Down,7,4
CUST00827,2021-03-25,Service Down,7,2
CUST04125,2021-10-21,Other,10,3
CUST00624,2021-04-01,Payment Issue,11,1
CUST03696,2021-09-17,Service Down,5,1
CUST05226,2021-09-01,Account Blocked,5,5
