CustomerID,ActivityDate,ServiceUsed,UsageAmount,SessionDuration
CUST06067,2021-11-21,Website,2109.62,57.12
CUST00611,2021-01-07,Mobile App,1480.14,37.79
CUST09755,2021-06-19,Website,3792.56,53.05
CUST06003,2021-05-11,Branch Visit,2734.45,25.94
CUST06878,2021-03-09,Branch Visit,937.26,29.39
CUST06311,2021-01-25,Mobile App,9389.34,28.72
CUST08763,2021-08-22,Mobile App,9211.52,40.75
CUST04596,2021-04-04,Website,7055.27,26.26
CUST00950,2021-01-20,Website,7562.99,2.93
CUST01398,2021-04-15,ATM,8521.99,54.08
CUST05639,2021-09-21,ATM,2815.99,7.49
CUST05079,2021-03-28,Branch Visit,6230.68,55.86
CUST02942,2021-01-09,ATM,5252.05,6.07
CUST02978,2021-06-21,Mobile App,5553.92,5.75
CUST02809,2021-11-16,Mobile App,9967.64,31.05
CUST02104,2021-10-21,Branch Visit,5696.52,48.21
CUST01175,2021-05-25,Branch Visit,4310.8,34.17
CUST00085,2021-01-19,Branch Visit,8303.57,28.25
CUST06483,2021-06-09,ATM,4947.06,50.11
CUST07451,2021-12-03,Mobile App,3351.69,48.26
CUST08153,2021-02-18,Branch Visit,789.97,9.52
CUST09265,2021-01-26,ATM,2604.98,38.45
CUST00170,2021-01-13,Website,1453.1,16.14
CUST05639,2021-01-08,ATM,3583.46,1.35
CUST00193,2021-05-01,Branch Visit,9120.31,34.68
CUST06581,2021-04-08,Mobile App,3066.05,2.8
CUST08401,2021-10-05,Branch Visit,7311.35,2.66
CUST09450,2021-09-10,ATM,4177.31,57.05
CUST01308,2021-11-20,Mobile App,4695.73,52.17
CUST08821,2021-12-11,Website,6831.55,23.56
CUST03840,2021-12-24,Branch Visit,5314.0,1.35
CUST08844,2021-02-07,Website,6393.09,8.16
CUST03992,2021-12-18,Branch Visit,7131.89,42.46
CUST06271,2021-10-15,ATM,7015.97,43.21
CUST05795,2021-03-25,Branch Visit,4565.13,35.77
CUST06096,2021-07-01,ATM,8499.38,22.06
CUST03825,2021-02-11,Website,6012.43,3.65
CUST06039,2021-05-04,Branch Visit,7509.88,42.6
CUST04406,2021-12-08,Branch Visit,7674.81,46.53
CUST05692,2021-04-17,Mobile App,6731.49,42.05
CUST09957,2021-06-13,ATM,6275.36,57.85
CUST03369,2021-04-09,ATM,8778.29,10.05
CUST02695,2021-08-01,Website,6384.65,12.93
CUST06612,2021-10-07,ATM,9079.33,49.16
CUST07352,2021-08-31,Mobile App,9048.18,48.4
CUST04238,2021-04-12,Branch Visit,8088.57,4.48
CUST09725,2021-07-19,Website,7726.51,22.93
CUST08298,2021-04-20,ATM,7236.17,50.78
CUST00163,2021-01-08,Branch Visit,1304.56,8.67
CUST08843,2021-04-12,Website,625.42,52.09
CUST06860,2021-01-03,Mobile App,7707.56,21.32
CUST01328,2021-05-11,Mobile App,4050.93,57.07
CUST02586,2021-05-18,Branch Visit,5516.09,40.53
CUST08347,2021-09-11,Branch Visit,8564.57,50.41
CUST03314,2021-01-30,Mobile App,7839.44,29.44
CUST05980,2021-06-09,Mobile App,7153.03,1.99
CUST05963,2021-11-25,Mobile App,9370.0,51.67
CUST00628,2021-12-01,Mobile App,6311.53,21.36
CUST02208,2021-10-03,ATM,6309.92,2.68
CUST02272,2021-05-18,Website,9228.97,32.44
CUST01507,2021-08-15,Website,8672.49,28.25
CUST00195,2021-04-01,ATM,8672.68,3.73
CUST04459,2021-02-26,Branch Visit,1255.36,24.59
CUST05385,2021-12-09,Mobile App,4200.87,16.19
CUST01561,2021-07-08,ATM,8941.41,11.75
CUST00798,2021-01-13,ATM,9511.34,48.79
CUST05432,2021-08-16,Mobile App,3312.95,15.51
CUST07368,2021-08-07,Website,2664.49,42.68
CUST06383,2021-07-10,Website,1115.65,8.65
CUST09864,2021-03-22,Branch Visit,3240.6,5.5
CUST03839,2021-10-28,Mobile App,9194.04,26.34
CUST02584,2021-08-22,Branch Visit,9843.73,51.85
CUST04161,2021-05-12,Branch Visit,2894.4,20.8
CUST06065,2021-11-08,Mobile App,4244.15,19.33
CUST07139,2021-05-16,Website,6296.31,56.03
CUST03935,2021-07-22,Mobile App,9018.36,33.7
CUST01350,2021-08-11,Branch Visit,6104.72,59.56
CUST09485,2021-07-16,Mobile App,7077.29,48.57
CUST00218,2021-11-08,Branch Visit,9381.75,53.89
CUST05070,2021-06-21,Branch Visit,4908.89,4.26
